方位角(度),时间,X(度),Y(度)
105.000,2026-06-05 17:40:31.479,0.710,83.350
105.000,2026-06-05 17:40:31.976,0.710,83.350
105.000,2026-06-05 17:40:32.475,0.710,83.350
105.000,2026-06-05 17:40:32.973,0.710,83.340
105.000,2026-06-05 17:40:33.485,0.710,83.340
105.000,2026-06-05 17:40:33.980,0.710,83.340
105.000,2026-06-05 17:40:34.479,0.710,83.340
105.000,2026-06-05 17:40:34.977,0.710,83.340
105.000,2026-06-05 17:40:35.489,0.710,83.340
105.000,2026-06-05 17:40:35.989,0.720,83.350
105.000,2026-06-05 17:40:36.488,0.710,83.350
105.000,2026-06-05 17:40:36.987,0.710,83.350
105.000,2026-06-05 17:40:37.486,0.710,83.350
105.000,2026-06-05 17:40:37.982,0.710,83.350
105.000,2026-06-05 17:40:38.484,0.710,83.350
105.000,2026-06-05 17:40:38.748,0.710,83.350
120.000,2026-06-05 17:40:45.628,0.700,83.350
120.000,2026-06-05 17:40:46.127,0.700,83.350
120.000,2026-06-05 17:40:46.626,0.700,83.350
120.000,2026-06-05 17:40:47.122,0.700,83.350
120.000,2026-06-05 17:40:47.635,0.700,83.350
120.000,2026-06-05 17:40:48.131,0.700,83.350
120.000,2026-06-05 17:40:48.628,0.700,83.350
120.000,2026-06-05 17:40:49.125,0.700,83.350
120.000,2026-06-05 17:40:49.625,0.700,83.350
120.000,2026-06-05 17:40:50.136,0.700,83.350
120.000,2026-06-05 17:40:50.637,0.690,83.350
120.000,2026-06-05 17:40:51.134,0.690,83.350
120.000,2026-06-05 17:40:51.633,0.700,83.350
120.000,2026-06-05 17:40:52.130,0.700,83.350
120.000,2026-06-05 17:40:52.626,0.700,83.350
120.000,2026-06-05 17:40:53.138,0.690,83.350
120.000,2026-06-05 17:40:53.635,0.700,83.350
120.000,2026-06-05 17:40:54.131,0.700,83.350
120.000,2026-06-05 17:40:54.641,0.700,83.350
120.000,2026-06-05 17:40:55.126,0.700,83.350
120.000,2026-06-05 17:40:55.392,0.700,83.350
135.000,2026-06-05 17:41:02.630,0.680,83.360
135.000,2026-06-05 17:41:03.129,0.680,83.360
135.000,2026-06-05 17:41:03.630,0.680,83.350
135.000,2026-06-05 17:41:04.134,0.680,83.350
135.000,2026-06-05 17:41:04.633,0.680,83.350
135.000,2026-06-05 17:41:05.131,0.680,83.350
135.000,2026-06-05 17:41:05.628,0.680,83.350
135.000,2026-06-05 17:41:06.127,0.680,83.350
135.000,2026-06-05 17:41:06.627,0.680,83.350
135.000,2026-06-05 17:41:07.127,0.680,83.350
135.000,2026-06-05 17:41:07.625,0.680,83.350
135.000,2026-06-05 17:41:08.138,0.680,83.350
135.000,2026-06-05 17:41:08.638,0.680,83.350
135.000,2026-06-05 17:41:09.136,0.680,83.350
135.000,2026-06-05 17:41:09.640,0.680,83.350
135.000,2026-06-05 17:41:10.141,0.680,83.350
135.000,2026-06-05 17:41:10.637,0.680,83.350
135.000,2026-06-05 17:41:11.137,0.680,83.350
135.000,2026-06-05 17:41:11.635,0.680,83.350
135.000,2026-06-05 17:41:12.134,0.680,83.350
135.000,2026-06-05 17:41:12.402,0.680,83.350
150.000,2026-06-05 17:41:19.281,0.670,83.350
150.000,2026-06-05 17:41:19.783,0.670,83.350
150.000,2026-06-05 17:41:20.284,0.670,83.350
150.000,2026-06-05 17:41:20.781,0.670,83.350
150.000,2026-06-05 17:41:21.281,0.670,83.350
150.000,2026-06-05 17:41:21.779,0.670,83.350
150.000,2026-06-05 17:41:22.280,0.670,83.350
150.000,2026-06-05 17:41:22.778,0.670,83.350
150.000,2026-06-05 17:41:23.278,0.660,83.360
150.000,2026-06-05 17:41:23.788,0.660,83.350
150.000,2026-06-05 17:41:24.288,0.670,83.350
150.000,2026-06-05 17:41:24.785,0.670,83.350
150.000,2026-06-05 17:41:25.286,0.660,83.350
150.000,2026-06-05 17:41:25.782,0.660,83.350
150.000,2026-06-05 17:41:26.283,0.660,83.350
150.000,2026-06-05 17:41:26.784,0.670,83.350
150.000,2026-06-05 17:41:27.282,0.670,83.350
150.000,2026-06-05 17:41:27.783,0.670,83.360
150.000,2026-06-05 17:41:28.283,0.670,83.350
150.000,2026-06-05 17:41:28.796,0.670,83.350
150.000,2026-06-05 17:41:29.062,0.670,83.350
165.000,2026-06-05 17:41:36.276,0.650,83.350
165.000,2026-06-05 17:41:36.775,0.650,83.350
165.000,2026-06-05 17:41:37.275,0.650,83.350
165.000,2026-06-05 17:41:37.788,0.650,83.350
165.000,2026-06-05 17:41:38.287,0.650,83.340
165.000,2026-06-05 17:41:38.784,0.650,83.350
165.000,2026-06-05 17:41:39.286,0.650,83.350
165.000,2026-06-05 17:41:39.784,0.650,83.350
165.000,2026-06-05 17:41:40.285,0.650,83.350
165.000,2026-06-05 17:41:40.783,0.650,83.350
165.000,2026-06-05 17:41:41.281,0.650,83.350
165.000,2026-06-05 17:41:41.779,0.650,83.350
165.000,2026-06-05 17:41:42.280,0.650,83.350
165.000,2026-06-05 17:41:42.791,0.650,83.350
165.000,2026-06-05 17:41:43.290,0.650,83.350
165.000,2026-06-05 17:41:43.786,0.650,83.350
165.000,2026-06-05 17:41:44.286,0.650,83.350
165.000,2026-06-05 17:41:44.785,0.650,83.350
165.000,2026-06-05 17:41:45.283,0.650,83.340
165.000,2026-06-05 17:41:45.783,0.650,83.350
165.000,2026-06-05 17:41:46.048,0.650,83.350
